id,company,post_title,post_date,post_text,tipo,assunto,modelo,post_likes,post_comments,post_video_views,post_hashtags,origin
42,dextra-digital,,2020-08-02,"Estamos ao vivo🔴 O nosso Diretor de Inovação, Bill Coutinho, está conversando com: Beatriz Nantes, Diretora de Operações na Empiricus; Eber Machado Duarte, CTO da Catho; Andre Petenussi, CTO da Localiza sobre essas e outras provocações. Participe:'",negócios,Live ,webinar,42,0,0,,linkedin
43,dextra-digital,,2020-06-03,"Uma nova abordagem de trabalho 100% digital com o objetivo de auxiliar desde os primeiros rascunhos até a evolução em um produto ou serviço, utilizando a integração entre pessoas como o caminho para encontrar soluções eficazes e gerar resultados positivos. Conheça nosso processo criativo que rompe barreiras e conecta pessoas: https://bit.ly/2WAGkYf'",negócios,Serviço 100% remoto,post,25,0,0,,linkedin
44,dextra-digital,,2020-09-01,Confira o nosso case da Empiricus para perceber como a estratégia digital alinhada ao negócio cria plataformas de e-commerce eficientes. #EstrategiaDigital',negócios,estratégia digital,case,30,0,0,#EstrategiaDigital',linkedin
45,dextra-digital,,2020-09-01,"E aí, confirmou sua presença?! A Luisa Possi já! A Live Mutant tá chegando!Uma noite com muita música, surpresas e energia lá em cima. Esqueça aquelas lives chatas de empresas.Aqui é Mutant! Vem com a gente!'",branding,Rebranding da Marca,post,16,0,0,,linkedin
46,dextra-digital,,2020-09-01,"Achou que o DevCamp Live era só palestra? Achou errado. Além de + de 12 horas de conteúdo ao vivo estamos preparando interações e atividades para tornar tudo mais especial. E para deixar ainda mais interessante, teremos prêmios todos os dias! E ai, qual prêmio do DevCamp Live você vai levar?Inscreva-se: https://lnkd.in/d4FtSnT#devcamplive #DCLive2020'",técnico,DevCamp ,post,45,1,0,"#devcamplive, #DCLive2020'",linkedin
47,dextra-digital,,2020-09-01,"Confira o nosso case do Meu Alelo, e perceba a importância de alinhar a estratégia digital ao negócio. #EstrategiaDigital'",negócios,estratégia digital,case,71,0,0,#EstrategiaDigital',linkedin
48,dextra-digital,,2020-06-03,"Não é de hoje que temos a visão de que devemos cada vez mais ser uma empresa sem fronteiras. Com nossa expansão em múltiplos sites e a nova realidade que estamos vivendo, temos que nos reinventar para continuar criando espaços onde as pessoas se conectem fora dos contextos de rotina, quebrando os famosos silos corporativos, para que nossa cultura possa expandir com forte sentimento de identidade, continuar sendo dinâmica, fluida e criativa. Por isso criamos a Dextra Matrix, muito obrigado a todos os dextran@s envolvidos. #dextrasemfronteira #dextramatrix'",employer branding,trabalho conectado,post,101,1,0,"#dextrasemfronteira, #dextramatrix'",linkedin
49,dextra-digital,,2020-09-01,Live Mutant com shows exclusivos! Hoje às 20:08 no link: MutantTheRitual.comÉ só clicar e garantir seu lugar. Join the Revolution!',branding,Rebranding da Marca,post,2,0,0,,linkedin
50,dextra-digital,,2020-09-01,"Live Mutant está completa! Shows incríveis, conteúdos exclusivos! Esqueça aquelas lives chatas das empresas!É só clicar e garantir seu lugar! Join the Revolution!'",branding,Rebranding da Marca,post,27,0,0,,linkedin
51,dextra-digital,,2020-09-01,Entre os dias 25 e 28 de agosto estaremos presente no TDC Online \\o/. Que tal participar com a gente? Inscreva-se gratuitamente. Te esperamos na nossa sala para batermos um papo :D https://lnkd.in/d4HZFEw',técnico,particpação evento,post,53,2,0,,linkedin
52,dextra-digital,,2020-09-01,"Mais um nome incrível na Live Mutant: Gabriel, o Pensador!Só falta você. Entre no site e confirme seu lugar! Não fique de fora: a hora é agora. Vem celebrar, cantar e rimar com a gente!'",branding,Rebranding da Marca,post,6,0,0,,linkedin
